Chunk_ID,Is_Climax,Feat_Intensity_Delta,Feat_Exclamation_Ratio,TF_一动,TF_一旦,TF_一直,TF_一般,TF_不会,TF_不小,TF_不少,TF_不敢,TF_不断,TF_不能,TF_仿佛,TF_传来,TF_似乎,TF_位置,TF_依然,TF_便是,TF_修炼,TF_再度,TF_准备,TF_凝聚,TF_凝重,TF_几乎,TF_出手,TF_出来,TF_出现,TF_化为,TF_危险,TF_却是,TF_发现,TF_变幻,TF_变得,TF_只能,TF_只见,TF_可能,TF_同样,TF_吞噬,TF_呵呵,TF_响起,TF_如同,TF_存在,TF_完全,TF_宛如,TF_对手,TF_就是,TF_就算,TF_尽数,TF_巨大,TF_已经,TF_并未,TF_应该,TF_庞大,TF_开始,TF_开来,TF_强大,TF_强悍,TF_强横,TF_当然,TF_彻底,TF_微微,TF_必然,TF_必须,TF_忍不住,TF_忽然,TF_恐怕,TF_恐怖,TF_惊人,TF_想来,TF_想要,TF_成为,TF_或许,TF_打算,TF_抬头,TF_拥有,TF_持续,TF_掠过,TF_提升,TF_摇头,TF_攻击,TF_散发,TF_施展,TF_旋即,TF_显得,TF_显然,TF_更是,TF_最为,TF_最终,TF_有着,TF_未曾,TF_极为,TF_根本,TF_正是,TF_毕竟,TF_汇聚,TF_沉默,TF_没有,TF_波动,TF_注视,TF_浮现,TF_清楚,TF_渐渐,TF_点头,TF_爆发,TF_犹如,TF_狂暴,TF_狠狠,TF_猛然,TF_甚至,TF_略微,TF_疯狂,TF_的确,TF_直接,TF_看来,TF_真是,TF_真正,TF_真的,TF_知道,TF_磅礴,TF_神秘,TF_离开,TF_究竟,TF_突然,TF_竟是,TF_竟然,TF_算是,TF_终于,TF_绝对,TF_缓缓,TF_能够,TF_自然,TF_至尊,TF_获得,TF_落下,TF_见到,TF_说话,TF_起来,TF_足以,TF_轻轻,TF_达到,TF_迅速,TF_还有,TF_进入,TF_逐渐,TF_造化,TF_遇见,TF_陡然,TF_难以,TF_需要,TF_震动,TF_面对,TF_顿时
C00357,0,0.012133072407044976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34060577357387484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4812450193484149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345369765873742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3622667318033552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4852050845259468
C00743,0,-0.06321211175277042,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24399332158548714,0.0,0.0,0.4092346816729803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2908089050598966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3059653483517312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2004995238330006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30053585176404574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1940448775411506,0.0,0.5984850644781612,0.0,0.2616294641804969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C01144,1,0.030916844349680173,0.007434944237918215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47666314882929806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4837462659853396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29951114097663784,0.0,0.0,0.0,0.0,0.0,0.4506380838021677,0.0,0.0,0.0,0.0,0.4959840587673787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00840,0,0.06277876895628903,0.0,0.0,0.0,0.0,0.0,0.17977998738775117,0.0,0.19538574299864656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4275399036645042,0.0,0.0,0.0,0.0,0.18477399464124833,0.0,0.0,0.154954911034241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17069197590391888,0.0,0.17632396023247324,0.15570168021380706,0.0,0.18981168461273054,0.0,0.18433915880800347,0.0,0.0,0.0,0.0,0.4421862332678552,0.0,0.0,0.0,0.0,0.0,0.0,0.15183652446532894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2122727809158248,0.0,0.0,0.0,0.16152961621870887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22661373552802305,0.0,0.0,0.0,0.16500475140939758,0.0,0.0,0.0,0.18885897805427818,0.2306462953076771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17136374686417735,0.0,0.0,0.0,0.0,0.11777780046687877,0.18348016551788204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00670,0,-0.038911290322580616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3283534327428965,0.0,0.0,0.0,0.0,0.3771321777936767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2602238791882703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3920655988553522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31485419730664144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3611659710729268,0.3011318491655436,0.0,0.3066500012049018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33798639695921434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00497,0,0.0020960108181203863,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17083163293137008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2850507240037748,0.0,0.1982926152043926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3608194961694295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5186180127543499,0.0,0.3006008101102622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3574509478414994,0.0,0.0,0.0,0.0,0.0,0.0,0.19316214979979973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2920841548538438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3321603948958988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00751,1,-0.13,0.004484304932735426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28548054522777044,0.0,0.0,0.0,0.0,0.17309297198283924,0.0,0.0,0.0,0.34424136320691767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30375677727605155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27561558686364696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34837182531460437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33534387423728357,0.0,0.0,0.0,0.0,0.0,0.0,0.2520534257288369,0.0,0.0,0.0,0.0,0.0,0.195719083226664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2579223001515577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18410088766376262,0.0,0.0,0.0,0.0,0.2565301395977761,0.0,0.0,0.0,0.0,0.0,0.0,0.31610969590061966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00379,1,0.02564102564102566,0.004347826086956522,0.32402513659810767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3139323875177919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20981650253404455,0.21964659773893916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2754562742282659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31339665537550887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30194747335594746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31720634511858425,0.0,0.0,0.0,0.0,0.2571213180103086,0.0,0.2849507995863829,0.0,0.0,0.0,0.0,0.23389211749361663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20651495160132002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20890142730709188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22360394690720808
C00276,0,-0.06382978723404259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4622728662307941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45296986648974014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5997134679778446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47060158682798736
C00361,0,0.02392538523925386,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28036626474286497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24799948644253653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2968570275984345,0.16738361247972608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33376956868073143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27018718062359287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722974639922807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32766221343928487,0.0,0.0,0.0,0.0,0.0,0.0
